Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
25.000	0.0000	0.0000	infinite	43.424	45.903	481.73	25.273	33.587	427.63	undefined	9.8730e-06	0.018457	vapor
25.000	0.0031699	0.023075	43.337	43.401	45.876	154.15	25.951	34.442	426.63	278.19	9.8669e-06	0.018550	vapor
25.000	0.0031699	997.00	0.0010030	1.8885	1.8885	6.6157	74.545	75.333	1496.5	-0.22147	0.00089011	0.60715	liquid
25.000	1.0000	997.45	0.0010026	1.8871	1.9052	6.6110	74.485	75.281	1498.2	-0.22144	0.00088987	0.60760	liquid
25.000	2.0000	997.90	0.0010021	1.8857	1.9218	6.6063	74.425	75.229	1499.9	-0.22142	0.00088964	0.60805	liquid
25.000	3.0000	998.35	0.0010017	1.8843	1.9385	6.6016	74.365	75.178	1501.6	-0.22139	0.00088942	0.60851	liquid
25.000	4.0000	998.80	0.0010012	1.8830	1.9551	6.5969	74.305	75.127	1503.2	-0.22136	0.00088920	0.60896	liquid
25.000	5.0000	999.25	0.0010008	1.8816	1.9717	6.5922	74.246	75.076	1504.9	-0.22133	0.00088899	0.60942	liquid
25.000	6.0000	999.69	0.0010003	1.8802	1.9883	6.5875	74.187	75.026	1506.6	-0.22130	0.00088878	0.60987	liquid
25.000	7.0000	1000.1	0.00099986	1.8788	2.0049	6.5827	74.129	74.976	1508.3	-0.22127	0.00088858	0.61032	liquid
25.000	8.0000	1000.6	0.00099942	1.8775	2.0215	6.5779	74.070	74.927	1509.9	-0.22124	0.00088838	0.61078	liquid
25.000	9.0000	1001.0	0.00099898	1.8761	2.0381	6.5731	74.012	74.878	1511.6	-0.22121	0.00088819	0.61123	liquid
25.000	10.000	1001.5	0.00099854	1.8748	2.0546	6.5683	73.955	74.829	1513.3	-0.22118	0.00088800	0.61169	liquid
25.000	11.000	1001.9	0.00099810	1.8734	2.0712	6.5635	73.897	74.781	1514.9	-0.22115	0.00088782	0.61215	liquid
25.000	12.000	1002.3	0.00099766	1.8720	2.0877	6.5586	73.841	74.733	1516.6	-0.22111	0.00088764	0.61260	liquid
25.000	13.000	1002.8	0.00099722	1.8707	2.1042	6.5538	73.784	74.685	1518.3	-0.22108	0.00088747	0.61306	liquid
25.000	14.000	1003.2	0.00099678	1.8693	2.1207	6.5489	73.728	74.638	1520.0	-0.22105	0.00088731	0.61351	liquid
25.000	15.000	1003.7	0.00099635	1.8680	2.1372	6.5440	73.672	74.591	1521.6	-0.22101	0.00088714	0.61397	liquid
25.000	16.000	1004.1	0.00099592	1.8666	2.1537	6.5391	73.616	74.544	1523.3	-0.22098	0.00088699	0.61442	liquid
25.000	17.000	1004.5	0.00099548	1.8653	2.1702	6.5341	73.560	74.498	1525.0	-0.22095	0.00088684	0.61488	liquid
25.000	18.000	1005.0	0.00099505	1.8640	2.1866	6.5292	73.505	74.452	1526.6	-0.22091	0.00088669	0.61534	liquid
25.000	19.000	1005.4	0.00099462	1.8626	2.2031	6.5242	73.450	74.406	1528.3	-0.22087	0.00088655	0.61579	liquid
25.000	20.000	1005.8	0.00099419	1.8613	2.2195	6.5192	73.396	74.361	1530.0	-0.22084	0.00088641	0.61625	liquid
25.000	21.000	1006.3	0.00099377	1.8600	2.2359	6.5142	73.342	74.316	1531.6	-0.22080	0.00088628	0.61670	liquid
25.000	22.000	1006.7	0.00099334	1.8586	2.2523	6.5092	73.288	74.271	1533.3	-0.22076	0.00088615	0.61716	liquid
25.000	23.000	1007.1	0.00099292	1.8573	2.2687	6.5042	73.234	74.227	1535.0	-0.22073	0.00088603	0.61762	liquid
25.000	24.000	1007.6	0.00099249	1.8560	2.2851	6.4991	73.181	74.183	1536.7	-0.22069	0.00088591	0.61807	liquid
25.000	25.000	1008.0	0.00099207	1.8546	2.3015	6.4940	73.128	74.139	1538.3	-0.22065	0.00088580	0.61853	liquid
25.000	26.000	1008.4	0.00099165	1.8533	2.3178	6.4890	73.075	74.096	1540.0	-0.22061	0.00088569	0.61898	liquid
25.000	27.000	1008.8	0.00099123	1.8520	2.3341	6.4839	73.023	74.053	1541.7	-0.22057	0.00088559	0.61944	liquid
25.000	28.000	1009.3	0.00099081	1.8507	2.3505	6.4787	72.971	74.010	1543.3	-0.22053	0.00088549	0.61990	liquid
25.000	29.000	1009.7	0.00099039	1.8494	2.3668	6.4736	72.919	73.968	1545.0	-0.22049	0.00088540	0.62035	liquid
25.000	30.000	1010.1	0.00098998	1.8481	2.3831	6.4685	72.867	73.926	1546.7	-0.22045	0.00088531	0.62081	liquid
25.000	31.000	1010.5	0.00098956	1.8467	2.3994	6.4633	72.816	73.884	1548.3	-0.22041	0.00088522	0.62126	liquid
25.000	32.000	1011.0	0.00098915	1.8454	2.4157	6.4581	72.765	73.843	1550.0	-0.22037	0.00088514	0.62171	liquid
25.000	33.000	1011.4	0.00098874	1.8441	2.4319	6.4529	72.714	73.802	1551.7	-0.22033	0.00088507	0.62217	liquid
25.000	34.000	1011.8	0.00098832	1.8428	2.4482	6.4477	72.664	73.761	1553.3	-0.22029	0.00088500	0.62262	liquid
25.000	35.000	1012.2	0.00098791	1.8415	2.4644	6.4425	72.613	73.720	1555.0	-0.22025	0.00088493	0.62308	liquid
25.000	36.000	1012.7	0.00098750	1.8402	2.4807	6.4372	72.563	73.680	1556.7	-0.22020	0.00088487	0.62353	liquid
25.000	37.000	1013.1	0.00098710	1.8389	2.4969	6.4320	72.514	73.640	1558.3	-0.22016	0.00088482	0.62398	liquid
25.000	38.000	1013.5	0.00098669	1.8376	2.5131	6.4267	72.464	73.600	1560.0	-0.22012	0.00088476	0.62444	liquid
25.000	39.000	1013.9	0.00098628	1.8363	2.5293	6.4214	72.415	73.561	1561.7	-0.22008	0.00088472	0.62489	liquid
25.000	40.000	1014.3	0.00098588	1.8350	2.5455	6.4161	72.366	73.522	1563.3	-0.22003	0.00088467	0.62534	liquid
25.000	41.000	1014.7	0.00098548	1.8337	2.5616	6.4108	72.318	73.483	1565.0	-0.21999	0.00088463	0.62579	liquid
25.000	42.000	1015.2	0.00098507	1.8324	2.5778	6.4055	72.269	73.445	1566.7	-0.21994	0.00088460	0.62625	liquid
25.000	43.000	1015.6	0.00098467	1.8312	2.5939	6.4001	72.221	73.407	1568.3	-0.21990	0.00088457	0.62670	liquid
25.000	44.000	1016.0	0.00098427	1.8299	2.6101	6.3947	72.174	73.369	1570.0	-0.21985	0.00088455	0.62715	liquid
25.000	45.000	1016.4	0.00098387	1.8286	2.6262	6.3894	72.126	73.331	1571.7	-0.21981	0.00088453	0.62760	liquid
25.000	46.000	1016.8	0.00098348	1.8273	2.6423	6.3840	72.079	73.294	1573.3	-0.21976	0.00088451	0.62805	liquid
25.000	47.000	1017.2	0.00098308	1.8260	2.6584	6.3786	72.032	73.257	1575.0	-0.21972	0.00088450	0.62850	liquid
25.000	48.000	1017.6	0.00098268	1.8247	2.6745	6.3731	71.985	73.220	1576.7	-0.21967	0.00088449	0.62895	liquid
25.000	49.000	1018.0	0.00098229	1.8235	2.6906	6.3677	71.938	73.183	1578.3	-0.21962	0.00088449	0.62939	liquid
25.000	50.000	1018.4	0.00098189	1.8222	2.7066	6.3622	71.892	73.147	1580.0	-0.21958	0.00088449	0.62984	liquid
