Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
25.000	0.0000	0.0000	infinite	19.824	22.303	476.86	28.826	37.141	269.40	undefined	1.4924e-05	0.016598	vapor
25.000	1.0000	18.716	0.053429	19.527	21.879	100.50	29.970	40.528	261.53	10.976	1.5026e-05	0.017103	vapor
25.000	2.0000	39.773	0.025142	19.196	21.409	93.603	31.291	45.067	253.06	11.019	1.5200e-05	0.017800	vapor
25.000	3.0000	64.091	0.015603	18.818	20.878	88.908	32.889	51.608	243.76	11.044	1.5481e-05	0.018815	vapor
25.000	4.0000	93.349	0.010712	18.370	20.256	84.910	34.961	62.145	233.28	11.021	1.5932e-05	0.020425	vapor
25.000	5.0000	131.27	0.0076176	17.800	19.476	80.956	37.992	82.938	220.79	10.884	1.6699e-05	0.023410	vapor
25.000	6.0000	190.61	0.0052464	16.932	18.317	76.123	44.010	153.28	203.43	10.384	1.8316e-05	0.031408	vapor
25.000	6.4342	242.73	0.0041198	16.192	17.359	72.606	52.013	361.42	189.12	9.6220	2.0157e-05	0.045509	vapor
25.000	6.4342	710.50	0.0014075	11.695	12.093	54.945	47.108	284.63	274.26	2.2565	5.7048e-05	0.080789	liquid
25.000	7.0000	743.03	0.0013458	11.421	11.835	53.965	44.553	200.08	320.36	1.7140	6.1603e-05	0.082096	liquid
25.000	8.0000	776.64	0.0012876	11.124	11.577	52.906	42.904	156.41	369.05	1.2814	6.6785e-05	0.085557	liquid
25.000	9.0000	799.65	0.0012505	10.913	11.409	52.153	42.075	137.46	404.05	1.0394	7.0652e-05	0.088617	liquid
25.000	10.000	817.63	0.0012231	10.745	11.283	51.550	41.573	126.22	432.31	0.87512	7.3877e-05	0.091295	liquid
25.000	11.000	832.57	0.0012011	10.603	11.184	51.039	41.240	118.56	456.41	0.75295	7.6706e-05	0.093688	liquid
25.000	12.000	845.47	0.0011828	10.478	11.103	50.590	41.007	112.94	477.60	0.65711	7.9263e-05	0.095865	liquid
25.000	13.000	856.87	0.0011670	10.367	11.034	50.188	40.838	108.59	496.64	0.57917	8.1619e-05	0.097871	liquid
25.000	14.000	867.12	0.0011532	10.266	10.976	49.821	40.712	105.10	514.01	0.51408	8.3820e-05	0.099741	liquid
25.000	15.000	876.47	0.0011409	10.173	10.926	49.483	40.617	102.23	530.04	0.45863	8.5898e-05	0.10150	liquid
25.000	16.000	885.09	0.0011298	10.086	10.882	49.168	40.545	99.809	544.97	0.41063	8.7873e-05	0.10316	liquid
25.000	17.000	893.09	0.0011197	10.006	10.843	48.873	40.489	97.735	558.98	0.36853	8.9764e-05	0.10474	liquid
25.000	18.000	900.56	0.0011104	9.9300	10.810	48.595	40.447	95.933	572.20	0.33120	9.1582e-05	0.10625	liquid
25.000	19.000	907.60	0.0011018	9.8584	10.780	48.332	40.415	94.348	584.74	0.29780	9.3337e-05	0.10769	liquid
25.000	20.000	914.24	0.0010938	9.7905	10.753	48.081	40.391	92.940	596.70	0.26768	9.5038e-05	0.10908	liquid
25.000	21.000	920.53	0.0010863	9.7258	10.730	47.841	40.373	91.679	608.13	0.24034	9.6691e-05	0.11043	liquid
25.000	22.000	926.53	0.0010793	9.6641	10.709	47.612	40.361	90.541	619.11	0.21537	9.8300e-05	0.11172	liquid
25.000	23.000	932.25	0.0010727	9.6050	10.691	47.392	40.353	89.507	629.67	0.19245	9.9870e-05	0.11298	liquid
25.000	24.000	937.73	0.0010664	9.5482	10.675	47.179	40.349	88.563	639.86	0.17132	0.00010141	0.11420	liquid
25.000	25.000	942.98	0.0010605	9.4936	10.660	46.975	40.348	87.696	649.71	0.15176	0.00010291	0.11539	liquid
25.000	26.000	948.03	0.0010548	9.4409	10.648	46.777	40.349	86.897	659.25	0.13358	0.00010439	0.11654	liquid
25.000	27.000	952.89	0.0010494	9.3901	10.637	46.585	40.353	86.157	668.51	0.11663	0.00010583	0.11767	liquid
25.000	28.000	957.59	0.0010443	9.3409	10.628	46.400	40.358	85.469	677.51	0.10078	0.00010726	0.11877	liquid
25.000	29.000	962.13	0.0010394	9.2933	10.620	46.219	40.365	84.828	686.28	0.085920	0.00010866	0.11985	liquid
